,program_code,program_name,Unnamed: 0,YEAR,SEMESTER,term,CatalogYear,catalog_id,Title,credits,Prereqs,Coreqs,Fees,Attributes,Description
0,AY,Anthropology,395,2017.0,Fall,Fall2017,2017_2018,AY 0390B,Special Topics: North American Indians,,,,,,
1,AS,American Studies,7355,2018.0,Summer,Summer2018,2017_2018,AS 0405A,"Special Topics: Study Away: Newport, Rhode Island: ""A Lively Experiment""",,,,,,
2,BI,Biology,8279,2017.0,Fall,Fall2017,2017_2018,BI 0107X,Human Anatomy and Physiology Lab I,,,,,,
3,SL,TESOL and Bilingual Education,6780,2017.0,Fall,Fall2017,2017_2018,SL 0540A,Special Topics in English Acquisition Pedagogy: Research Practicum,,,,,,
4,RS,Religious Studies,6352,2017.0,Fall,Fall2017,2017_2018,RS 0299C,"Special Topics: Tradition and the Spirit of Place: Memory, Identity, and Community",,,,,,
5,PH,Philosophy,5592,2017.0,Fall,Fall2017,2017_2018,PH 0299D,Special Topics: Philosophy as a Way of Life,,,,,,
6,MA,Mathematics,2246,2018.0,Summer,Summer2018,2017_2018,MA 0495C,Special Topics: Cryptography,,,,,,
7,SHS,Summer Pre-College Programs,7900,2018.0,Summer,Summer2018,2017_2018,SHS 0011,Forensic Psychology,,,,,,
8,SHS,Summer Pre-College Programs,4983,2018.0,Summer,Summer2018,2017_2018,SHS 0013,Nursing: The Possibilities Are Endless!,,,,,,
9,PB,Public Health,8356,2018.0,Spring,Spring2018,2017_2018,PB 0101,Global Public Health and Social Justice,,,,,,
10,FE,First Year Experience,8014,2017.0,Fall,Fall2017,2017_2018,FE 0001,First Year Experience,,,,,,
11,FE,First Year Experience,8064,2017.0,Fall,Fall2017,2017_2018,FE 0002,Transfer Student Experience,,,,,,
